Requirements for the Minor in Biomedical Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/#majorstext,Requirements for the Minor in Biomedical Engineering
Requirements for the B.S. in Chemical Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofchemicalandbiomolecularengineering/#majorstext,"Chemical Engineering, B.S."
Requirements for the B.S. in Civil Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofcivilandenvironmentalengineering/#majorstext,"Civil Engineering, B.S."
Requirements for the B.S. in Environmental Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofcivilandenvironmentalengineering/#majorstext,Requirements for the B.S. in Environmental Engineering
Requirements for the B.S. in Computer Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofelectricalengineeringandcomputerscience/#majorstext,"Computer Engineering, B.S."
Requirements for the B.S. in Electrical Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofelectricalengineeringandcomputerscience/#majorstext,"Electrical Engineering, B.S."
Requirements for the B.S. in Computer Science and Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofelectricalengineeringandcomputerscience/#majorstext,Requirements for the B.S. in Computer Science and Engineering
Requirements for the B.S. in Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/#undergraduatestudytext,"Engineering, B.S."
Requirements for the B.S. in Materials Science and Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofmaterialsscienceandengineering/#majortext,"Materials Science and Engineering, B.S."
Requirements for the Minor in Materials Science and Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofmaterialsscienceandengineering/#majortext,Requirements for the Minor in Materials Science and Engineering
Requirements for the B.S. in Business Information Management,http://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/#undergraduatetext,"Business Information Management, B.S."
Requirements for the B.S. in Information and Computer Science,http://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/#undergraduatetext,"Information and Computer Science, B.S."
Requirements for the B.S. in Computer Game Science,http://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/#undergraduatetext,Requirements for the B.S. in Computer Game Science
Requirements for the B.S. in Software Engineering,http://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/#undergraduatetext,Requirements for the B.S. in Software Engineering
Requirements for the Minor in Information and Computer Science,http://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/#undergraduatetext,Requirements for the Minor in Information and Computer Science
Requirements for the B.S. in Biomedical Engineering,http://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofbiomedicalengineering/#minortext,Biomedical Engineering
